,name,birthDate
2268,Lawrence Martin,1965-04-16
2269,Lay Kenneth L,1942-04-15
2270,Layden Scott,1959-01-01
2271,Lazio Rick A,1958-03-13
2272,Le Carre John,1931-10-19
2273,Le Gougne Marie Reine,1961-01-01
2274,Le Pen Jean-Marie,1928-06-20
2275,LeDuff Charlie,1966-01-01
2276,LeFrak Samuel J,1918-02-12
2277,LeWitt Sol,1928-09-09
2278,Leach Jim,1942-10-15
2279,Leaf Ryan,1976-05-15
2280,Leahy Patrick J,1940-03-31
2281,Lear Norman,1922-07-27
2282,Leary Denis,1957-08-18
2283,Leavitt Michael O,1951-02-11
2284,Lebow Bennett S,1938-01-01
2285,Ledee Ricky,1973-11-22
2286,Ledger Heath,1979-04-04
2287,Lee Ang,1954-10-23
2288,Lee Bill Lann,1949-02-05
2289,Lee Chang-Rae,1965-07-29
2290,Lee Jennifer 8,1976-03-15
2291,Lee Peggy,1920-05-26
2292,Lee Robert E,1807-01-19
2293,Lee Spike,1957-03-20
2294,Lee Stan,1922-12-28
2295,Lee Wen Ho,1939-12-21
2296,Leeson Nicholas W,1967-02-25
2297,Leetch Brian,1968-03-03
2298,Lefkow Joan Humphrey,1944-01-09
2299,Leguizamo John,1964-07-22
2300,Lehman Tom,1959-03-07
2301,Lehmann-Haupt Christopher,1934-01-01
2302,Lehrer Jim,1934-05-19
2303,Leibovitz Annie,1949-10-02
2304,Leichter Franz S,1930-08-19
2305,Leigh Jennifer Jason,1962-02-05
2306,Leigh Mike,1943-02-20
2307,Leight Warren,1957-01-17
2308,Leinart Matt,1983-05-11
2309,Leiter Al,1965-10-23
2310,Leithauser Brad,1953-02-27
2311,Leko Peter,1979-09-08
2312,Lemaire Jacques,1945-09-07
2313,Lemieux Claude,1965-07-16
2314,Lemieux Mario,1965-10-05
2315,Lemmon Jack,1925-02-08
2316,Lemper Ute,1963-07-04
2317,Lenin Vladimir,1870-04-22
2318,Lennon John,1940-10-09
2319,Leno Jay,1950-04-28
2320,Leonard Elmore,1925-10-11
2321,Leonard Justin,1972-06-15
2322,Leonard Sugar Ray,1956-05-17
2323,Leonhardt David,1973-01-01
2324,Lepage Robert,1957-12-12
2325,Lerach William S,1946-03-14
2326,Lerner Alan Jay,1918-08-31
2327,Leroy Warner,1935-03-03
2328,Leslie Lisa,1972-07-07
2329,Lessig Lawrence,1961-06-03
2330,Lessing Doris,1919-10-22
2331,Lethem Jonathan,1964-02-19
2332,Letterman David,1947-04-12
2333,Letts Tracy,1965-07-04
2334,Leung Katrina,1954-01-01
2335,Levi Primo,1919-07-31
2336,Levin Carl,1934-06-28
2337,Levin Gerald M,1939-05-06
2338,Levin Ira,1929-08-27
2339,Levin Richard C,1947-04-07
2340,Levine James,1943-06-23
2341,Levine Randy L,1955-02-22
2342,Levinson Barry,1942-04-06
2343,Levitt Arthur Jr,1931-02-03
2344,Levy Chandra Ann,1977-04-14
2345,Levy Clifford J,1967-06-15
2346,Levy Harold O,1952-12-14
2347,Levy Leon,1925-09-13
2348,Lewinsky Monica S,1973-07-23
2349,Lewis Anthony,1927-03-27
2350,Lewis Carl,1961-07-01
2351,Lewis Flora,1922-07-25
2352,Lewis Jerry,1926-03-16
2353,Lewis Lennox,1965-09-02
2354,Lewis Meriwether,1774-08-18
2355,Leyland Jim,1944-12-15
2356,Leyritz Jim,1963-12-27
2357,Li Richard,1966-11-08
2358,Libby I Lewis Jr,1950-08-22
2359,Libeskind Daniel,1946-05-12
2360,Lichtblau Eric,1965-01-01
2361,Lichtenstein Roy,1923-10-27
2362,Lidle Cory,1972-03-22
2363,Lieberman Avigdor,1958-06-05
2364,Lieberman Joseph I,1942-02-24
2365,Lifton Robert Jay,1926-05-16
2366,Ligeti Gyorgy,1923-05-28
2367,Limbaugh Rush,1951-01-12
2368,Lin Maya,1959-10-05
2369,Linares Guillermo,1951-01-01
2370,Lincoln Abbey,1930-08-06
2371,Lincoln Abraham,1809-02-12
2372,Lind Michael,1962-04-23
2373,Lindbergh Anne Morrow,1906-06-22
2374,Lindbergh Charles A,1902-02-04
2375,Lindh Anna,1957-06-19
2376,Lindh John Walker,1981-02-09
2377,Lindros Eric,1973-02-28
2378,Lindsay John V,1921-11-24
2379,Lindsay-Abaire David,1969-11-30
2380,Lindsey Lawrence B,1954-07-18
2381,Linney Laura,1964-02-05
2382,Lipinski Tara,1982-06-10
2383,Lippman Jonathan,1945-05-19
2384,Lipstadt Deborah E,1947-03-18
2385,Lipsyte Robert,1938-01-16
2386,Liptak Adam,1960-09-02
2387,Lish Gordon,1934-02-11
2388,Liszt Franz,1811-10-22
2389,Lithgow John,1945-10-19
2390,Litton Andrew,1959-05-16
2391,Litvinenko Alexander V,1962-08-30
2392,Liu John C,1967-01-08
2393,Livingston Robert L,1943-04-30
2394,Livingstone Ken,1945-06-17
2395,Livni Tzipi,1958-07-08
2396,Lloyd Webber Andrew,1948-03-22
2397,Lloyd Graeme,1967-04-09
2398,Loach Ken,1936-06-17
2399,Lobo Rebecca,1973-10-03
2400,Locke Gary,1950-01-21
2401,Lockhart Joe,1959-07-13
2402,Lockhart Keith,1959-11-07
2403,Lockwood Nadine,1991-01-01
2404,Lockyer Bill,1941-05-08
2405,Loesser Frank,1910-06-29
2406,Lofton Kenny,1967-05-31
2407,Lohan Lindsay,1986-07-02
2408,Lonergan Kenneth,1962-10-16
2409,Lopate Phillip,1943-01-01
2410,Lopez Obrador Andres Manuel,1953-11-13
2411,Lopez Awilda,1989-02-11
2412,Lopez Jennifer,1969-07-24
2413,Lorenzo Frank,1940-05-19
2414,Loroupe Tegla,1973-05-09
2415,Lortel Lucille,1900-12-16
2416,Lott Trent,1941-10-09
2417,Louganis Greg,1960-01-29
2418,Louima Abner,1966-01-01
2419,Louis Joe,1914-05-14
2420,Loury Glenn C,1948-09-03
2421,Lovano Joe,1952-12-29
2422,Love Courtney,1964-07-09
2423,Love Davis III,1964-04-13
2424,Lovett Lyle,1957-11-01
2425,Low Ron,1950-06-21
2426,Lowey Nita M,1937-07-05
2427,Lowry Glenn D,1954-09-28
2428,LuPone Patti,1949-04-21
2429,Lubbers Ruud,1939-05-07
2430,Lubovitch Lar,1943-04-09
2431,Lucas Craig,1951-04-30
2432,Lucas George,1944-05-14
2433,Lucas Ray,1972-08-06
2434,Ludlam Charles,1943-04-12
2435,Ludlum Robert,1927-05-25
2436,Ludwig Eugene A,1946-04-11
2437,Lugar Richard G,1932-04-04
2438,Luhrmann Baz,1962-09-17
2439,Lukacs John,1924-01-31
2440,Lukas D Wayne,1935-09-02
2441,Lukashenko Aleksandr G,1954-08-30
2442,Lumet Sidney,1924-06-25
2443,Lundqvist Henrik,1982-03-02
2444,Lungren Daniel E,1946-09-22
2445,Luntz Frank,1962-02-23
2446,Lurie Alison,1926-09-03
2447,Luttwak Edward N,1942-11-04
2448,Luzhkov Yuri,1936-09-21
2449,Lynch David,1946-01-20
2450,Lynch Gerard E,1951-09-04
2451,Lynch Jessica,1983-04-26
2452,Lyne Adrian,1941-03-04
2453,Lyons Henry J,1942-01-01
2454,la Guardia Fiorello H,1882-12-11
2455,la Russa Tony,1944-10-04
2456,Ma Yo-Yo,1955-10-07
2457,Maas Peter,1929-06-27
2458,Maazel Lorin,1930-03-06
2459,Mabus Ray,1948-10-11
2460,MacLaine Shirley,1934-04-24
2461,Macchiarola Frank J,1941-04-07
2462,Maccioni Sirio,1932-01-01
2463,Mack John J,1944-11-17
2464,Mack Stan,1936-01-01
2465,Mackie Bob,1940-03-24
2466,Mackintosh Cameron,1946-10-17
2467,Macklowe Harry,1937-01-01
2468,Macy William H,1949-03-13
2469,Maddox Tommy,1971-09-02
2470,Maddux Greg,1966-04-14
2471,Madoff Bernard L,1938-04-29
2472,Magaziner Ira C,1947-11-08
2473,Maggert Jeff,1964-02-20
2474,Maher Bill,1956-01-20
2475,Mahler Gustav,1860-07-07
2476,Mahony Roger M,1936-02-27
2477,Mahuad Jamil,1949-07-29
2478,Maier Hermann,1972-12-07
2479,Mailer Norman,1923-01-31
2480,Majid Ali Hassan al-,1941-11-30
2481,Majoli Iva,1977-08-12
2482,Major John,1943-03-29
2483,Malcolm Janet,1934-01-01
2484,Maliki Nuri Kamal al-,1950-06-20
2485,Malkovich John,1953-12-09
2486,Malle Louis,1932-10-30
2487,Mallon Thomas,1951-11-02
2488,Malone John C,1941-03-07
2489,Malone Karl,1963-07-24
2490,Maloney Carolyn B,1946-02-19
2491,Maloney James H,1948-09-17
2492,Malvo John Lee,1985-02-18
2493,Mamet David,1947-11-30
2494,Manchester William,1922-04-01
2495,Mandela Nelson,1918-07-18
2496,Mandela Winnie,1936-09-26
2497,Mandelbaum Michael,1946-01-01
2498,Mandelson Peter,1953-10-12
2499,Manet Edouard,1832-01-23
2500,Mangini Eric,1971-01-19
2501,Manilow Barry,1943-06-17
2502,Mankiw N Gregory,1958-02-03
2503,Mann Sally,1951-01-01
2504,Mann Thomas,1875-06-06
2505,Manning Eli,1981-01-03
2506,Manning Peyton,1976-03-24
2507,Manson Charles,1934-11-12
2508,Mantegna Joe,1947-11-13
2509,Mantello Joe,1962-12-27
2510,Mantle Mickey,1931-10-20
2511,Manton Thomas J,1932-11-03
2512,Manuel Jerry,1953-12-23
2513,Mara Wellington,1916-08-14
2514,Maradona Diego,1960-10-30
2515,Marbury Stephon,1977-02-20
2516,Marcos Ferdinand E,1917-09-11
2517,Marcovicci Andrea,1948-11-18
2518,Marcus Stanley,1905-04-20
2519,Margiela Martin,1957-04-09
2520,Margulies Donald,1954-09-02
2521,Marino Dan,1961-09-15
2522,Maris Roger,1934-09-10
2523,Mariucci Steve,1955-11-04
2524,Markey Edward J,1946-07-11
2525,Markoff John,1949-10-24
2526,Markowitz Marty,1945-02-14
2527,Marley Bob,1945-02-06
2528,Marri Ali Saleh Kahlah al-,1966-01-01
2529,Marsalis Branford,1960-08-26
2530,Marsalis Wynton,1961-10-18
2531,Marshall Anthony D,1924-05-30
2532,Marshall Garry,1934-11-13
2533,Marshall Rob,1960-10-17
2534,Marshall Thurgood,1908-07-02
2535,Martin Agnes,1912-03-22
2536,Martin Casey,1972-06-02
2537,Martin Curtis,1973-05-01
2538,Martin Dean,1917-06-07
2539,Martin John S Jr,1935-01-01
2540,Martin Kenyon,1977-12-30
2541,Martin Paul,1938-08-28
2542,Martin Ricky,1971-12-24
2543,Martin Steve,1945-08-14
2544,Martin Todd,1970-07-08
2545,Martinez Conchita,1972-04-16
2546,Martinez Pedro,1971-10-25
2547,Martinez Tino,1967-12-07
2548,Martins Peter,1946-10-27
2549,Maruyama Shigeki,1969-09-12
2550,Marx Groucho,1890-10-02
2551,Marx Karl,1818-05-05
2552,Mashburn Jamal,1972-11-29
2553,Maskhadov Aslan,1951-09-21
2554,Maslin Janet,1949-08-12
2555,Mason Bobbie Ann,1940-05-01
2556,Mason Jackie,1931-06-09
2557,Masri Abu Hamza al-,1958-04-15
2558,Massenet Jules,1842-05-12
2559,Massino Joseph C,1943-01-10
2560,Massoud Ahmed Shah,1953-09-02
2561,Mastroianni Marcello,1924-09-28
2562,Masur Kurt,1927-07-18
2563,Matalin Mary,1953-08-19
2564,Mathis Clint,1976-11-25
2565,Matisse Henri,1869-12-31
2566,Matsch Richard P,1930-01-01
2567,Matsui Hideki,1974-06-12
2568,Matsui Kazuo,1975-10-23
2569,Matsuzaka Daisuke,1980-09-13
2570,Matthaus Lothar,1961-03-21
2571,Matthews Chris,1945-12-17
2572,Matthiessen Peter,1927-05-22
2573,Mattila Karita,1960-09-05
2574,Mattingly Don,1961-04-20
2575,Mauresmo Amelie,1979-07-05
2576,Mauskopf Roslynn R,1957-02-07
2577,Max Peter,1937-10-19
2578,May Elaine,1932-04-21
2579,Maynard Joyce,1953-11-05
2580,Mayorga Ricardo,1973-10-03
2581,Mays Willie,1931-05-06
2582,Mbeki Thabo,1942-06-18
2583,McAuliffe Terry,1957-02-09
2584,McBain Ed,1926-10-15
2585,McCaffrey Barry R,1942-11-17
2586,McCain Cindy,1954-05-20
2587,McCain John,1936-08-29
2588,McCall H Carl,1935-10-17
2589,McCarrick Theodore E,1930-07-07
2590,McCarthy Carolyn,1944-01-05
2591,McCarthy Cormac,1933-07-20
2592,McCarthy Joseph R,1908-11-14
2593,McCartney Linda,1941-09-24
2594,McCartney Paul,1942-06-18
2595,McCartney Stella,1971-09-13
2596,McCarver Tim,1941-10-16
2597,McCaughey Ross Betsy,1948-10-20
2598,McCaw Craig O,1949-08-11
2599,McChrystal Stanley A,1954-08-14
2600,McClellan Mark B,1963-06-26
2601,McClellan Scott,1968-02-14
2602,McCollum Bill,1944-07-12
2603,McConaughey Matthew,1969-11-04
2604,McConnell Mitch,1942-02-20
2605,McCool William C,1961-09-23
2606,McCormack John B,1935-08-12
2607,McCourt Frank,1930-08-19
2608,McCullough David,1933-07-07
2609,McDermott Alice,1953-06-27
2610,McDonagh Martin,1970-03-26
2611,McDonald Audra,1970-07-03
2612,McDonough William J,1934-04-21
2613,McDormand Frances,1957-06-23
2614,McDougal James B,1940-08-25
2615,McDougal Susan,1955-01-01
2616,McDyess Antonio,1974-09-07
2617,McEnroe John,1959-02-16
2618,McEnroe Patrick,1966-07-01
2619,McEwan Ian,1948-06-21
2620,McFadden Robert D,1937-01-01
2621,McGaughey Shug,1951-01-06
2622,McGovern George S,1922-07-19
2623,McGrady Tracy,1979-05-24
2624,McGreevey James E,1957-08-06
2625,McGregor Ewan,1971-03-31
2626,McGuinness Martin,1950-05-23
2627,McGwire Mark,1963-10-01
2628,McHugh James T,1932-01-03
2629,McInerney Jay,1955-01-13
2630,McKellen Ian,1939-05-25
2631,McKibben Bill,1960-01-01
2632,McKiernan David D,1950-12-11
2633,McKinley Jesse,1970-01-01
2634,McKinney Gene C,1950-11-03
2635,McMurtry Larry,1936-06-03
2636,McNabb Donovan,1976-11-25
2637,McNair Steve,1973-02-14
2638,McNally Terrence,1938-11-03
2639,McNamara Robert S,1916-06-19
2640,McPherson Conor,1971-08-06
2641,McQueen Alexander,1969-03-16
2642,McSorley Marty,1963-05-18
2643,Mcanuff Des,1952-06-19
2644,Mcilvaine Joe,1947-01-01
2645,Mcpartland Marian,1918-03-20
2646,Mcveigh Timothy James,1968-04-23
2647,Mead Walter Russell,1952-06-12
2648,Mediate Rocco,1962-12-17
2649,Medvedev Dmitri A,1965-09-14
2650,Mee Charles L,1938-09-15
2651,Meehan Martin T,1956-12-30
2652,Megrahi Abdelbaset Ali Mohmed al-,1952-04-01
2653,Mehlman Ken,1966-08-21
2654,Mehsud Baitullah,1974-01-01
2655,Mehta Zarin,1938-10-28
2656,Mehta Zubin,1936-04-29
2657,Meier Richard,1934-10-12
2658,Mekhennet Souad,1978-01-01
2659,Mellencamp John,1951-10-07
2660,Mellon Paul,1907-06-11
2661,Melville Herman,1819-08-01
2662,Menand Louis,1952-01-21
2663,Menchu Rigoberta,1959-01-09
2664,Mendelssohn Felix,1809-02-03
2665,Mendes Sam,1965-08-01
2666,Mendoza Ramiro,1972-06-15
2667,Menem Carlos Saul,1930-07-02
2668,Menendez Lyle,1968-01-10
2669,Menendez Robert,1954-01-01
2670,Menino Thomas M,1942-12-27
2671,Menken Alan,1949-07-22
2672,Menkes Suzy,1943-12-24
2673,Menotti Gian Carlo,1911-07-07
2674,Menzel Idina,1971-05-30
2675,Mer Francis,1939-05-25
2676,Mercer Johnny,1909-11-18
2677,Mercer Ray,1961-04-04
2678,Merchant Ismail,1936-12-25
2679,Merkel Angela,1954-07-17
2680,Merkin Daphne,1954-05-30
2681,Merrick David,1911-11-27
2682,Meshal Khaled,1956-05-28
2683,Messiaen Olivier,1908-12-10
2684,Messier Jean-Marie,1956-12-13
2685,Messier Mark,1961-01-18
2686,Messinger Ruth W,1940-11-06
2687,Messud Claire,1966-01-01
2688,Metheny Pat,1954-08-12
2689,Meyer Danny,1958-03-14
2690,Mfume Kweisi,1948-10-24
2691,Michael George,1963-06-25
2692,Michaels Lorne,1944-11-17
2693,Micheletti Roberto,1943-08-13
2694,Mickelson Phil,1970-06-16
2695,Middelhoff Thomas,1953-05-11
2696,Midler Bette,1945-12-01
2697,Miers Harriet E,1945-08-10
2698,Mikulski Barbara A,1936-07-20
2699,Milbury Mike,1952-06-17
2700,Miles Jack,1942-07-30
2701,Milken Michael R,1946-07-04
2702,Miller Arthur,1915-10-17
2703,Miller Bode,1977-10-12
2704,Miller Dennis,1953-11-03
2705,Miller Gifford,1969-11-06
2706,Miller Laura,1958-11-18
2707,Miller Leszek,1946-07-03
2708,Miller Mark Crispin,1949-11-06
2709,Miller Marvin,1917-04-14
2710,Miller Reggie,1965-08-24
2711,Miller Sue,1943-11-29
2712,Miller Zell,1932-02-25
2713,Mills Richard P,1944-11-28
2714,Milne A A,1882-01-18
2715,Milosz Czeslaw,1911-06-30
2716,Milton John,1608-12-09
2717,Minaya Omar,1958-11-10
2718,Mineta Norman Y,1931-11-12
2719,Minghella Anthony,1954-01-06
2720,Minnelli Liza,1946-03-12
2721,Mirer Rick,1970-03-19
2722,Miro Joan,1893-04-20
2723,Mirren Helen,1945-07-26
2724,Mitchell Brian Stokes,1957-10-31
2725,Mitchell Elvis,1958-12-06
2726,Mitchell George J,1933-08-20
2727,Mitchell Joni,1943-11-07
2728,Mitchell Margaret,1900-11-08
2729,Miyake Issey,1938-04-22
2730,Miyazawa Kiichi,1919-10-08
2731,Mizrahi Isaac,1961-10-14
2732,Moakley Joe,1927-04-27
2733,Modell Art,1925-06-23
2734,Modigliani Amedeo,1884-07-12
2735,Mofaz Shaul,1948-11-04
2736,Mohamad Mahathir,1925-07-10
2737,Mohammed Khalid Shaikh,1965-04-14
2738,Molinari Guy V,1928-11-23
2739,Molinari Susan,1958-03-27
2740,Mondale Walter F,1928-01-05
2741,Mondavi Robert,1913-06-18
2742,Mondesi Raul,1971-03-12
2743,Mondrian Piet,1872-03-07
2744,Monet Claude,1840-11-14
2745,Monk Meredith,1942-11-20
2746,Monk Thelonious,1917-10-10
2747,Monroe Marilyn,1926-06-01
2748,Monserrate Hiram,1967-07-12
2749,Montana Joe,1956-06-11
2750,Montand Yves,1921-10-13
2751,Montesinos Vladimiro,1946-05-20
2752,Monteverdi Claudio,1567-05-15
2753,Montgomerie Colin,1963-06-23
2754,Montgomery Tim,1975-01-25
2755,Monti Mario,1943-03-19
2756,Moody Rick,1961-10-18
2757,Moon Sun Myung,1920-02-25
2758,Moon Warren,1956-11-18
2759,Moonves Leslie,1949-10-06
2760,Moore Demi,1962-11-11
2761,Moore Julianne,1960-12-03
2762,Moore Lorrie,1957-01-13
2763,Moore Mary Tyler,1936-12-29
2764,Moore Michael,1954-04-23
2765,Moore Roy S,1947-02-11
2766,Moorer Michael,1967-11-12
2767,Morales Dan,1956-04-24
2768,Morales Evo,1959-10-26
2769,Morales Justina,1987-02-19
2770,Mordden Ethan,1949-01-27
2771,Mordechai Yitzhak,1944-11-22
2772,Morgan Gil,1946-09-25
2773,Morgenson Gretchen,1956-01-02
2774,Morgenthau Robert M,1919-07-31
2775,Morissette Alanis,1974-06-01
2776,Morris Dick,1946-11-28
2777,Morris Errol,1948-02-05
2778,Morrison Tommy,1969-01-02
2779,Morrison Toni,1931-02-18
2780,Mortier Gerard,1943-11-25
2781,Mortimer John,1923-04-21
2782,Mosbacher Robert A,1927-03-11
2783,Moseley-Braun Carol,1947-08-16
2784,Moses Robert,1888-12-18
2785,Moskowitz Eva S,1964-03-04
2786,Mosley Shane,1971-09-07
2787,Mosley Walter,1952-01-12
2788,Moss Randy,1977-02-13
2789,Moss Santana,1979-06-01
2790,Mota Guillermo,1973-07-25
2791,Motley Constance Baker,1921-09-14
2792,Mourning Alonzo,1970-02-08
2793,Moussa Amr,1936-10-03
2794,Moussaoui Zacarias,1968-05-30
2795,Moussavi Mir Hussein,1942-03-02
2796,Moya Carlos,1976-08-27
2797,Moyers Bill,1934-06-05
2798,Moynihan Daniel Patrick,1927-03-16
2799,Mozart Wolfgang Amadeus,1756-01-27
2800,Mozilo Angelo R,1938-01-01
2801,Mubarak Hosni,1928-05-04
2802,Muckler John,1934-04-13
2803,Mueller Robert S III,1944-08-07
2804,Mugabe Robert,1924-02-21
2805,Muhammad John Allen,1960-12-31
2806,Muhammad Khalid Abdul,1948-01-12
2807,Mukasey Michael B,1941-07-28
2808,Mulally Alan R,1945-08-04
2809,Mulcahy Anne M,1952-10-21
2810,Mullen Michael G,1946-10-04
2811,Munch Edvard,1863-12-12
2812,Munro Alice,1931-07-10
2813,Murakami Haruki,1949-01-12
2814,Murakami Takashi,1962-01-01
2815,Murdoch Iris,1919-07-15
2816,Murdoch Lachlan,1971-09-08
2817,Murdoch Rupert,1931-03-11
2818,Murkowski Frank H,1933-03-28
2819,Murphy Eddie,1961-04-03
2820,Murray Bill,1950-09-21
2821,Murray Eddie,1956-02-24
2822,Murray Patty,1950-10-11
2823,Murtha John P,1932-06-17
2824,Muschamp Herbert,1947-11-28
2825,Museveni Yoweri K,1944-01-01
2826,Musgrove Ronnie,1956-07-29
2827,Musharraf Pervez,1943-08-11
2828,Mussina Mike,1968-12-08
2829,Mussolini Benito,1883-07-29
2830,Muster Thomas,1967-10-02
2831,Muti Riccardo,1941-07-28
2832,Mutombo Dikembe,1966-06-25
2833,Mutter Anne-Sophie,1963-06-29
2834,Mwanawasa Levy,1948-09-03
2835,Myers Richard B,1942-03-01
2836,Myskina Anastasia,1981-07-08
2837,Nabokov Vladimir,1899-04-22
2838,Nacchio Joseph P,1949-06-22
2839,Nadal Rafael,1986-06-03
2840,Nader Ralph,1934-02-27
2841,Nadler Jerrold,1947-06-13
2842,Nagano Kent,1951-11-22
2843,Nagin C Ray,1956-06-11
2844,Nagourney Adam,1954-10-10
2845,Naimi Ali Al-,1935-01-01
2846,Naipaul V S,1932-08-17
2847,Nair Mira,1957-10-15
2848,Nalbandian David,1982-01-01
2849,Namath Joe,1943-05-31
2850,Napolitano Janet,1957-11-29
2851,Nardelli Robert L,1948-05-17
2852,Nasar Sylvia,1947-08-17
2853,Nasr Hassan Mustafa Osama,1963-03-18
2854,Nasrallah Hassan,1960-08-31
2855,Nasser Jacques A,1947-12-12
2856,Nathan Judith,1954-12-16
2857,Naughton James,1945-12-06
2858,Navratilova Martina,1956-10-18
2859,Neagle Denny,1968-09-13
2860,Neeson Liam,1952-06-07
2861,Negroponte John D,1939-07-21
2862,Negroponte Nicholas,1943-12-01
2863,Nelson Don,1940-05-15
2864,Nelson Willie,1933-04-29
2865,Nemy Enid,1924-01-01
2866,Netanyahu Benjamin,1949-10-21
2867,Neulander Fred J,1941-08-14
2868,Neuwirth Bebe,1958-12-31
2869,Newdow Michael A,1953-06-24
2870,Newman Jon O,1932-01-01
2871,Newman Paul,1925-01-26
2872,Newman Randy,1943-11-28
2873,Newman Ryan,1977-12-08
2874,Newsom Gavin,1967-10-10
2875,Newton Helmut,1920-10-31
2876,Newton Isaac,1642-12-25
2877,Ney Bob,1954-07-05
2878,Nicholas II Czar of Russia,1868-05-18
2879,Nichols Mike,1931-11-06
2880,Nichols Peter,1927-07-31
2881,Nichols Terry Lynn,1955-04-01
2882,Nicholson Geoff,1953-03-04
2883,Nicholson Jack,1937-04-22
2884,Nickerson Eugene H,1918-08-02
2885,Nicklaus Jack,1940-01-21
2886,Nickles Don,1948-12-06
2887,Niedermayer Scott,1973-08-31
2888,Nifong Michael B,1950-09-14
2889,Nijinsky Vaslav,1889-03-12
2890,Nixon Cynthia,1966-04-09
2891,Nixon Richard Milhous,1913-01-09
2892,Niyazov Saparmurat,1940-02-19
2893,Nkunda Laurent,1967-02-02
2894,Noguchi Isamu,1904-11-17
2895,Nolte Nick,1941-02-08
2896,Nomo Hideo,1968-08-31
2897,Noonan Peggy,1950-09-07
2898,Noriega Manuel Antonio,1934-02-11
2899,Norman Clarence Jr,1951-08-25
2900,Norman Greg,1955-02-10
2901,Norman Jessye,1945-09-15
2902,Norman Magnus,1976-05-30
2903,Norrington Roger,1934-03-16
2904,North Oliver L,1943-10-07
2905,Norton Eleanor Holmes,1937-06-13
2906,Norton Gale,1954-03-11
2907,Notebaert Richard C,1947-01-01
2908,Nouvel Jean,1945-08-12
2909,Novak Michael,1933-09-09
2910,Novak Robert,1931-02-26
2911,Novotna Jana,1968-10-02
2912,Nowak Lisa Marie,1963-05-10
2913,Nowitzki Dirk,1978-06-19
2914,Nuland Sherwin B,1930-12-08
2915,Nunn Sam,1938-09-08
2916,Nunn Trevor,1940-01-14
2917,Nureyev Rudolf,1938-03-17
2918,Nussbaum Hedda,1942-01-01
2919,Nussbaum Martha C,1947-05-06
2920,Nusseibeh Sari,1949-01-01
2921,Oakley Charles,1963-12-18
2922,Oates Joyce Carol,1938-06-16
2923,Obama Barack,1961-08-04
2924,Obama Michelle,1964-01-17
2925,Obasanjo Olusegun,1937-03-05
2926,Obey David R,1938-10-03
2927,Ocalan Abdullah,1948-04-04
2928,Ochs Adolph S,1858-03-12
2929,Odeh Mohammed Saddiq,1965-01-01
2930,Odets Clifford,1906-07-18
2931,Odierno Raymond T,1954-09-08
2932,Odinga Raila,1945-01-07
2933,Odom Lamar,1979-11-06
2934,Ogata Sadako,1927-09-16
2935,Ohlsson Garrick,1948-04-03
2936,Ohno Apolo Anton,1982-05-22
2937,Ojito Mirta,1960-01-01
2938,Olajuwon Hakeem,1963-01-21
2939,Olazabal Jose Maria,1966-02-05
2940,Olbermann Keith,1959-01-27
2941,Oldham Todd,1961-10-22
2942,Olerud John,1968-08-05
2943,Oliva L Jay,1933-09-23
2944,Olivier Laurence,1907-05-22
2945,Olmert Ehud,1945-09-30
2946,Olmsted Frederick Law,1822-04-26
2947,Olney Buster,1964-02-17
2948,Olson Sara Jane,1947-01-16
2949,Olson Theodore B,1940-09-11
2950,Omar Muhammad,1960-01-01
2951,Onassis Jacqueline Kennedy,1994-05-18
2952,Ondaatje Michael,1943-09-12
2953,Ono Yoko,1933-02-18
2954,Oppens Ursula,1944-02-02
2955,Orbach Jerry,1935-10-20
2956,Ordonez Rey,1971-11-11
2957,Orenstein Peggy,1961-01-01
2958,Ornish Dean,1953-07-16
2959,Ortega Saavedra Daniel,1945-11-11
2960,Ortiz David,1975-11-18
2961,Orton Joe,1933-01-01
2962,Orwell George,1903-06-25
2963,Osbourne Ozzy,1948-12-03
2964,Osby Greg,1960-08-03
2965,Osgood Chris,1972-11-26
2966,Oswald Lee Harvey,1939-10-18
2967,Ottey Merlene,1960-05-10
2968,Ouroussoff Nicolai,1962-10-03
2969,Overbye Dennis,1944-06-02
2970,Ovitz Michael,1946-12-14
2971,Owen Clive,1964-10-03
2972,Owens Major R,1936-06-28
2973,Owens Terrell,1973-12-07
2974,Oxley Michael G,1944-02-11
2975,Oz Amos,1939-05-04
2976,Ozawa Seiji,1935-09-01
2977,Ozick Cynthia,1928-04-17
2978,Pace Peter,1945-11-05
2979,Pacino Al,1940-04-25
2980,Packer George,1960-08-13
2981,Padavan Frank,1934-10-31
2982,Paerson Anja,1981-04-25
2983,Page Larry,1973-03-26
2984,Pahlevi Mohammed Riza,1919-10-26
2985,Paige Roderick R,1933-06-17
2986,Pak Se Ri,1977-09-28
2987,Paksas Rolandas,1956-06-10
2988,Pakula Alan J,1928-04-07
2989,Paley Grace,1922-12-11
2990,Palin Sarah,1964-02-11
2991,Pallone Frank Jr,1951-10-30
2992,Palme Olof,1927-01-30
2993,Palmer Arnold,1929-09-10
2994,Palmer Carson,1979-12-27
2995,Palmisano Samuel J,1951-07-29
2996,Paltrow Gwyneth,1972-09-27
2997,Pamuk Orhan,1952-06-07
2998,Pandit Vikram S,1957-01-14
2999,Panetta Leon E,1938-06-28
3000,Pantani Marco,1970-01-13
3001,Papandreou Andreas,1919-02-05
3002,Papon Maurice,1910-09-03
